Title,Date Written,Rating,Current/Former,Job Title,Location,Recommendation?,Outlook,Main Text,Pros,Cons,Advice to management
"""Strategic Partner Manager""","Apr 27, 2016",5.0,Current Employee,Anonymous Employee,,Recommends,Positive Outlook,I have been working at Google full-time,"Forward thinking management style and company culture, challenging and meaningful projects. Competitive pay and benefits.","No cons I can think of, it's Google!",
"""Incredible Summer""","Apr 26, 2016",5.0,Former Employee,Anonymous Employee,,,,,"Interns actually get to work on real projects. Great work culture, learned a ton and was surrounded by great people.","It's a big company, so there are a lot of politics that go into things that (even though I didn't experience the negative effects of as an intern) affect engineers.",
"""Good Place to work with some downsides""","May 11, 2016",4.0,Former Employee,Anonymous Employee,,Recommends,Neutral Outlook,You need to do a lot of interviews,Work is a lot of fun - Interesting challenges,Performance reviews are a lot of work and take quite a while if going for promo,
"""Best Company in the World!!!""","Apr 25, 2016",5.0,Current Employee,Market Development Representative,"Mountain View, CA",Recommends,Positive Outlook,Approves of CEO,"A company that treats their employees great and in return get motivated and loyal employees. Free food, access to amenaties like gym, pool, beach volleyball courts, tennis, soccer, football field",Can't think of any as of yet,
"""Best Company in the world to work for""","Apr 26, 2016",5.0,Current Employee,Business Systems Integrator,"Sunnyvale, CA",Recommends,Positive Outlook,I have been working at Google full-time (More than a year),"lots of benefits, free food, gym and many more things",I don't think there are any cons if you find your dream job,
"""Analyst""","May 9, 2016",4.0,Current Employee,Analyst,"Mountain View, CA",Recommends,Positive Outlook,Approves of CEO,Indefinite resources to learn from,Lacking collaboration amongst team members,
"""Worker""","Apr 21, 2016",5.0,Current Employee,Anonymous Employee,"Los Angeles, CA",Recommends,Positive Outlook,I have been working at Google full-time (More than a year),"Great place to work, I've met so many friends. Everyone here is like family!","Nothing really, I love everyone so much!",
"""Software Engineer""","Apr 24, 2016",5.0,Current Employee,Anonymous Employee,,Recommends,,Approves of CEO,Super smart and helpful people to work with.,Too many processes that hinder fast development.,
"""Great Company!""","Apr 25, 2016",5.0,Former Employee,Anonymous Employee,,Recommends,Positive Outlook,Approves of CEO,"So amazing to work for, could not praise them enough and all the managers are GREAT",Nothing bad about them at all,
"""Software engineer at Google""","May 7, 2016",4.0,Current Employee,Anonymous Employee,"Mountain View, CA",Recommends,Positive Outlook,- impact depends on project,- great perks,- hard to rise in ladder,
"""Amazing""","Apr 22, 2016",5.0,Former Employee,Anonymous Employee,,,,,Very talented engineers and facilities,Very competitive and long hours,
"""f""","May 6, 2016",3.0,Former Employee,Anonymous Employee,,,,,good place to work to learn,difficult to move up rapidly,
"""One of the truly great companies on earth""","Apr 21, 2016",5.0,Current Employee,Anonymous Employee,,,,"* not as easy to take risks, because the company is under so much scrutiny from so many parties",* incredibly ambitious -- constantly pushing to think bigger,* has gotten very big,
"""Great Company!""","Apr 21, 2016",5.0,Current Employee,Software Engineer,"San Jose, CA",Recommends,Positive Outlook,Approves of CEO,"Great all around, very good company to work for.",I don't have any at the moment,
"""Associate Account Strategist""","Apr 4, 2016",5.0,Former Employee,Associate Account Strategist,"Ann Arbor, MI",Recommends,Positive Outlook,Approves of CEO,"Great support from management for work life balance. Initially the reality of the job leads many to not enjoy the work, however it is what you make of it and the people, company culture, and opportunity to grow are amazing.","Mundane core role, more client facing that advertised in the job description",
"""Amazing company""","Apr 17, 2016",5.0,Current Employee,Community Manager,"New York, NY",Recommends,Positive Outlook,The work is very rewarding.,The food is free.,It's still a corporate environment so things move slower than at start ups.,
"""Sales Executive""","Apr 17, 2016",5.0,Current Employee,Anonymous Employee,"San Francisco, CA",Recommends,Positive Outlook,"Hard to stand out, moving forward is based on politics not on ability","High level of trust, limited micromanagement",Company is too big and complicated to navigate - lot of time spent on internal reporting and justification,
"""Best Company""","Apr 17, 2016",5.0,Current Employee,Anonymous Employee,,,,- Great work environment,- Working with smart people,I don't have any issues.,
"""Good place, hectic pace""","Apr 13, 2016",5.0,Current Employee,Anonymous Employee,"Mountain View, CA",Recommends,Positive Outlook,Tough competitors,Great company,Hectic environment -- lots of work to do,
"""Good times""","Apr 16, 2016",5.0,Former Employee,Anonymous Employee,,Recommends,Positive Outlook,I worked at Google full-time,"Co workers were smart people, a lot of company culture events","Didn't like the corparate ladder, hard to move up, too relaxed",
"""Work@google""","Apr 28, 2016",3.0,Current Employee,Software Engineer,"Mountain View, CA",Recommends,Positive Outlook,* less exciting new projects,* free food,* too many people,
"""No complaints""","Apr 13, 2016",5.0,Current Employee,Web Solutions Engineer,"Mountain View, CA",Recommends,Positive Outlook,I have been working at Google full-time (More than 5 years),Perks are good. Job is interesting. Salary is fine. Travel opportunities. Can move between teams easily as well as between cities/countries.,"You have a lot of free food, so you might start being fat. Workload is pretty heavy, it is hard sometimes to have work-life balance.",
"""Sales""","Apr 27, 2016",4.0,Former Employee,Anonymous Employee,,,,,Fun but really challenging at the same time. Obviously with such a good company like google you will start pushing yourself hard,Cons is mostly towards the competitive scene. Expect co-workers to do whatever they can in order to move ahead of you,
"""Great company, but difficult to impact""","Apr 7, 2016",5.0,Current Employee,IT Resident,"Mountain View, CA",Recommends,Positive Outlook,- Mountain view HQ is way too massive,- All the perks are real,"- Employee ""I deserve this right now"" entitlement is real",
"""Awesomeness""","Apr 12, 2016",5.0,Current Employee,Software Engineer,"Chicago, IL",Recommends,Neutral Outlook,Approves of CEO,"Lively,Competitive,Health benefits,Always development phase is encouraged.","Not for everyone,Stressful,Agonizing,Work/Life Balance not the best.",
"""Great company, with faults""","Apr 23, 2016",4.0,Current Employee,Support Specialist,"Mountain View, CA",Recommends,Positive Outlook,Promotion process is terrible. You have to work constantly and be type A to get promoted in non-technical positions. Smart people are stuck in support roles.,"Great benefits and very competent peers. Impactful work and projects, and easy to lend a hand to other teams.","Some managers, especially in the ads space, are not very good and just tow the line.",
"""Make Ready technician""","Apr 9, 2016",5.0,Current Employee,Anonymous Employee,,,,,"Worked in Property Management, Building Maintenance and inspections all my life Progress Residential has to be number one ! they care about their Properties their Residents and their employees",It's a never-ending learning process no matter how old you are there are new things everyday to learn from. Remember your mistakes and focus on them .Your supervisors words and advice will only make you a better employee,
"""software engineer""","Mar 23, 2016",5.0,Former Employee,Anonymous Employee,,,,,It is abosolutely an amazing place to grow and learn. People are fine and all the free food is greate,It just has so many talented people so the space for you is very limited. And one can feel pressure at there.,
"""Intern""","Apr 11, 2016",5.0,Former Employee,Anonymous Employee,"San Francisco, CA",,,,Good people to work fo.,Hard job be good at.,
"""Best Job Ever!""","Apr 12, 2016",5.0,Current Employee,Software Engineer,"San Francisco, CA",Recommends,Positive Outlook,Approves of CEO,"Get to work with the brightest minds in the world, changing the way the world accesses information. This job is every engineer's dream.",None that I can think of.,
"""Great but a big company so you can feel lost in the shuffle""","Apr 25, 2016",4.0,Current Employee,Legal Assistant,"San Francisco, CA",Recommends,Positive Outlook,I have been working at Google full-time,Everything is as great as they say it is. Pretty much free everything all the time and you are offered lots of chances to grow.,It's a big company with lots of rules in place about promotions. Can feel arbitrary sometimes.,
"""Software Engineering""","Apr 25, 2016",4.0,Former Employee,Anonymous Employee,,Recommends,Neutral Outlook,I worked at Google full-time,They contact me on time as they said.,"The interview question is hard, and they expect perfect bug free code and best time complexity.",
"""Software Enginner""","Apr 10, 2016",5.0,Current Employee,Software Engineer,"New York, NY",Recommends,Positive Outlook,I have been working at Google full-time (More than a year),Good work life balance. Brilliant colleagues. Good benefits. No micro-management.,"Not all projects are exiting and a lot of work are creative. However, I would say that Google is doing a good job keeping the bureaucratic overhead low for its size.",
"""Googke""","Apr 25, 2016",2.0,Former Employee,Senior Strategist,"Mountain View, CA",Recommends,Positive Outlook,Show More,I think if you are in the right groups in Google and a dev you can work on some very exciting projects that effects billions of people. That's incredibly exciting.,Our startup was acquired by Google and we were thrown into Checkout/Commerce. The organization within Google had a history of being somewhat dysfunctional and that did not change when we got there.,
"""Still here after a decade.""","Apr 6, 2016",5.0,Current Employee,Software Engineer,"Mountain View, CA",Recommends,Positive Outlook,I have been working at Google full-time (More than 10 years),"After ten years, I still love working for Google, and I still see plenty of room to grow my career.","Middle management (at least in my part of the org) is in a constant state of upheaval. I have a new manager, VP, or director every 6 months.",
"""Do not join as a contractor..""","Apr 10, 2016",2.0,Former Employee,Partner Operations Coordinator,"Mountain View, CA",Doesn't Recommend,Positive Outlook,No opinion of CEO,"If you're a contractor, you might be able to gain access to some of the many benefits associated with the company.","If you're a contractor, you're treated like a second-class citizen.",
"""software engineer""","Apr 24, 2016",3.0,Current Employee,Software Engineer,"Mountain View, CA",Recommends,Positive Outlook,Approves of CEO,good super work life balance,life balance no need worry enjoy,
"""Sr Software Maanger""","Apr 9, 2016",5.0,Current Employee,Senior Software Manager,"Mountain View, CA",Recommends,Positive Outlook,Best place for Software Engineer - you can try different things.,"Great benefit & perk - insurance, food, bus, etc",Some places are over hired and fragmented - it is harder to have big ownership and make sizable impact.,
"""PMM""","Apr 9, 2016",5.0,Current Employee,Anonymous Employee,,Recommends,Positive Outlook,Approves of CEO,Great large company to work at,"Getting a little slow to get things done, but there's no other large company that I rather work in.",
"""Great company""","Mar 26, 2016",5.0,Current Employee,Senior Software Engineer,"New York, NY",Recommends,Positive Outlook,Show More,"Lives up to the hype. Super smart people. Awesome perks. Pays well. As an engineer, lots of choices - can switch teams and offices with relative ease.","No one is perfect. No company is perfect. There are great people and there are jerks. There are great managers and a bunch of not-so-great ones. If you go in thinking this is some utopia that doesn't have politics and bureaucracy, you'll get disillusioned really fast. And it's a company full of overachievers, so it's hard to maintain work-life balance if you want to keep up with your peers - unless you explicitly … ",
"""Manager""","Apr 5, 2016",5.0,Former Employee,Anonymous Employee,"Mountain View, CA",,,- You may want to keep a fast-track for your exceptional employees. Your current rigor around promotion cycles gets hungry/ambitious up and comers to look for opportunities outside,- Amazing co-workers,- It's a big company now so getting stuff done can be a bit tricky,
"""Overall, great place to work.""","Apr 8, 2016",5.0,Current Employee,Site Reliability Engineer,,Recommends,Positive Outlook,I have been working at Google full-time (More than 3 years),"My team is great, great career opportunities.",Some of the work sucks.,
"""Retail Product Specialist""","Apr 20, 2016",2.0,Former Employee,Anonymous Employee,,,,I worked at Google full-time,Great products and exciting atmosphere.,Poor field execution and support.,
"""Best place to work""","Apr 20, 2016",4.0,Former Employee,Anonymous Employee,,Recommends,,,It is an awesome place to work. Great work environment. Great benefits. Management was good too. Great stock options. Google takes good care of their employees.,I cannot think of any cons to write.,
"""excellent training ground w/ many opportunities but a large company""","Mar 30, 2016",5.0,Current Employee,Anonymous Employee,"Mountain View, CA",Recommends,Positive Outlook,I have been working at Google full-time,"Incredibly talented colleagues, innovative, fast-paced work, high level of transparency, data-driven culture that includes constant rigorous work to improve the culture","its a big company with process that is limited for a company of its size but still exists, tremendous horizontal growth opportunities but growing vertically takes time",
"""Good company""","Apr 6, 2016",5.0,Current Employee,Software Engineer,"Mountain View, CA",Recommends,Positive Outlook,- food quality is kind of declining,- great benefits and perks,- internal toolchains are sometimes hard to use,
"""Marketing manager""","Apr 4, 2016",5.0,Current Employee,Anonymous Employee,,,Positive Outlook,I have been working at Google full-time,Google is a great company full of amazing opportunities and people,It is a large conpany and there i s politics to navigate and it can be slow to get promoted,
"""Customer Support Manager""","Apr 4, 2016",5.0,Former Employee,Operations/Customer Support/Project Manager,"Lexington, MA",Recommends,Positive Outlook,I worked at Google (More than a year),"Freedom to get involve in many areas as you like, flexible schedules, great travel opportunities, great pay and benefits and working environment.",I worked at Google for 4 years and really do not have major complains about the environment. Only that I did run into a number of self-focused manager who would have done better to take care of their teams,
"""Great""","Apr 4, 2016",5.0,Current Employee,Anonymous Employee,,,,,Dream company. have been thinking about joining for years.,i can't figure out. maybe it is not startup culture anymore.,
"""Awesome Place To work""","Apr 5, 2016",5.0,Current Employee,Software Engineer,"Mountain View, CA",Recommends,Positive Outlook,I have been working at Google full-time (More than 8 years),"Its a great place to work with a lot of flexibility and lot of options to try different things (in a big office like Mountain View, New York etc)","Not really. Getting to be a bit big company like, so you are a small fish in big pond, rather than big fish in small pond.",
"""good""","Apr 18, 2016",4.0,Current Employee,Designer,"Mountain View, CA",,,Approves of CEO,Lots of projects and opportunity. Generally smart people. Great food. Great benefits. Founders care about the culture.,Working in Mountain View location can be isolating as there is really no reason to leave campus during the week and experience life outside of the company.,
"""Software Engineer""","Apr 19, 2016",4.0,Former Employee,SWE,"Mountain View, CA",Recommends,,I worked at Google full-time (More than 3 years),Google is very wide spread and offers interesting problems in many areas. Google has great pay and excellent benefits.,As a big company Google has lots of politics. It has become hierarchical and there is lots overhead like meetings. The 20% time is touted but not that real in practice.,
"""DB Engineer""","Mar 31, 2016",5.0,Current Employee,Senior Database Engineer/SRE/Database Administrator,"Mountain View, CA",Recommends,Positive Outlook,I have been working at Google (More than 5 years),Great company to work for. Great benefits.,Willing to relocate as position moves between locations.,
"""QA engineer""","Apr 13, 2016",4.0,Former Employee,Contractor,"Mountain View, CA",,,I worked at Google (More than a year),"Good perks, food, gym, TGIF","If you a contractor, you are ZERO there. They don't listen to your opinion.",
"""Great overall experience""","Apr 3, 2016",5.0,Current Employee,Anonymous Employee,,Recommends,Positive Outlook,Approves of CEO,"awesome co-workers, lots of fun, relaxed environment for the most part. free food, great campus. great perks.","occasional politics, food can be rather dull. feels like a small fish in a big pond. Sometimes difficult to get recognition for work.",
"""Great company""","Apr 4, 2016",5.0,Current Employee,Account Executive,,Recommends,Positive Outlook,Approves of CEO,Terrific place to work especially in the west coast awesome workers and benefits and work environment,I cannot think of any cons I just like how they run things like clockwork,
"""Great""","Apr 2, 2016",5.0,Former Employee,Anonymous Employee,"Mountain View, CA",Recommends,Positive Outlook,I worked at Google full-time (Less than a year),A great employer. Nice Food. A lot of technical challenges. But it is very hectic there.,Long hours. Immense pressure at times. It is not a start-up any more. Lots of people. You see some politics there.,
"""Great company!""","Apr 1, 2016",5.0,Current Employee,Anonymous Employee,,Recommends,Positive Outlook,Approves of CEO,Good work and life balance.,Not much that I aware of.,
"""Google review""","Apr 2, 2016",5.0,Former Employee,Anonymous Employee,,,,I worked at Google full-time,Great people to work with.,Depends on the team you get assigned to.,
"""Director""","Apr 14, 2016",4.0,Current Employee,Anonymous Employee,"Philadelphia, PA",Recommends,Positive Outlook,I have been working at Google full-time (More than 3 years),Was a good experience to work here,Nothing really cons to say,
"""Great place to work""","Apr 15, 2016",4.0,Current Employee,Anonymous Employee,,Recommends,Positive Outlook,No opinion of CEO,"Working with incredibly smart & motivated people, tremendous opportunity for growth and exposure to new types of jobs / roles, incredible benefits","Its a big company and decision making can be slow, good management is not always a priority",
"""Incredible company, great place to grow!""","Mar 24, 2016",5.0,Current Employee,Anonymous Employee,"San Francisco, CA",Recommends,Positive Outlook,"Additionally, becoming a leader within the org is difficult to do if you're starting your career at Google. You'll likely need to leave, get an advanced degree or experience elsewhere and return in order to become a leader.","Google's been voted the best company to work for many years in a row. Great benefits, great pay, incredibly smart people and a fun, supportive working environment.","Most opportunities are in the Bay Area, if you're in a distributed office, growth is very limited and the expectation is that you relocate.",
"""Sr. Program Manager""","Apr 8, 2016",4.0,Current Employee,Anonymous Employee,"Mountain View, CA",Recommends,Positive Outlook,I have been working at Google full-time (Less than a year),"Great people, caring co-workers, extreme transparency, strong culture. The perks are real and compensation is very competitive, but the meaningful projects is what attracted me to Google.",Slow decision making as the company continues to grow at an amazing pace.,
"""Google is very high-tech company.""","Mar 30, 2016",5.0,Former Employee,Software Engineer,"New York, NY",Recommends,Positive Outlook,I worked at Google full-time (More than 3 years),Working in Google company is very hard working and take responsibility for work.,Google giving good packages and working there is a very different and cool experience .,
"""Software Engineer""","Mar 31, 2016",5.0,Former Employee,Software Research Engineer,"San Diego, CA",Recommends,Positive Outlook,Approves of CEO,I feel very comfortable and I love it,I need to move to another place with my families.,
"""The only place better than Google is your own company. Before you have one, Google is the best company to work for.""","Apr 13, 2016",4.0,Current Employee,Anonymous Employee,,Recommends,Positive Outlook,Good work life balance (relative to other tech company),Very Very smart people.,"A little bit chaotic, less structural. This can be bad sometime, because you will find out 10+ people are doing the same thing you are doing, and then you question yourself why am I doing this.",
"""Stressful at first!!""","Apr 14, 2016",4.0,Former Employee,Software Engineer,"Mountain View, CA",Recommends,Positive Outlook,_Hard to get work/life balance,-Food,_Smart People : ),
"""Trying to Make Sense""","May 3, 2016",1.0,Former Employee,Anonymous Employee,,Doesn't Recommend,Negative Outlook,I worked at Google full-time (More than 5 years),Good people with good hearts,Horrible Management and downward communication,
"""Product Manager""","Apr 13, 2016",4.0,Former Employee,Anonymous Employee,,Recommends,Positive Outlook,I worked at Google full-time,"The work environment is laid back, and less competitive than others. It really allows room for creativity.",None. Don't expect the comps to be as competitive as other hot startups.,
"""Account Manager - Large Client Sales""","Apr 3, 2016",4.0,Current Employee,Account Manager,"San Francisco, CA",Recommends,Positive Outlook,-Base pay is low. The base pay is disappointing compared to the non-sales org pay.,-Exceptional talent of people who I work with. Google really does hire the best and I am regularly challenged and motivated by my peers.,-Slow promotion track. The pipeline to promotion is long and daunting.,
"""Was the best place to work, now its 'best place of its size'""","Apr 12, 2016",4.0,Current Employee,Anonymous Employee,,,Positive Outlook,- Better might be to spin-off more parts of company as completely independent companies,- There is a really good variety of projects,"- It's too big, the size of the company has not clearly improved its ability to execute whilst leading to an erosion of cultural values",
"""Cool and not Cool""","Apr 7, 2016",3.0,Former Employee,Anonymous Employee,,,,I worked at Google full-time (More than a year),"Free food, free bikes, good vacation, good health benefits, good salary","By having so much that's free, they own your time and mask the many things about it that aren't cool. All of it is public. It's just that some of its affiliations and aspirations aren't obvious and make people like me feel good about working there.",
"""Awesome place""","Mar 27, 2016",5.0,Current Employee,Software Engineer,"Mountain View, CA",Recommends,Positive Outlook,I have been working at Google full-time (More than a year),"Google is an awesome place. Lots of really smart people from all over, with a great mix of diversity. They strike a nice balance of make an impact but don't overwork yourself.","It's a pretty laid back environment, but sometimes that means things move a little slowly. I prefer things to move more quickly, but it's difficult because of big company bureaucracy.",
"""Great environment""","Mar 28, 2016",5.0,Current Employee,Product Specialist,"New York, NY",Recommends,Positive Outlook,I have been working at Google full-time (More than 5 years),"People are very smart, you can learn from everyone around you, there are many challenges and opportunities for growth and skill acquisition.",It's a big company so impact can be limited and politics are definitely an issue. If you work in an office outside of headquarters it can be challenging to move to a new role.,
"""Tough in Google Apps""","Apr 10, 2016",3.0,Former Employee,Anonymous Employee,,Recommends,Neutral Outlook,I worked at Google full-time,"Great company culture overall and free meals, massage, and other perks",Enterprise side needs a lot of work,
"""Intern""","Mar 26, 2016",5.0,Former Employee,Anonymous Employee,,,,,Great work environment. There were a lot of creative aspects about the position. People listen to your ideas and take them in to account,It seemed like you were a small fish in a big pond at times. There are a lot of employees and you might seem to feel like you can get lost,
"""Great place to work""","Mar 26, 2016",5.0,Current Employee,Anonymous Employee,,Recommends,,Approves of CEO,"Awesome environment, culture, people and products.",Long-term there are limited career growth opportunities.,
"""It was okay""","Apr 9, 2016",4.0,Former Employee,Anonymous Employee,,Doesn't Recommend,Positive Outlook,Disapproves of CEO,Great place for improvement and promotions. They give you a chance to succeed,Very very demanding. It takes up all of your time. No time for any other activities,
"""Program Manager""","Mar 26, 2016",5.0,Current Employee,Programmer,"Seattle, WA",Recommends,Positive Outlook,Approves of CEO,Excellent benefits. Culture is great!,Long hours that require a lot of coffee.,
"""Program Manager""","Mar 21, 2016",5.0,Current Employee,Program Manager,,Recommends,Positive Outlook,I have been working at Google full-time (More than 8 years),"Amazing, hardworking, intelligent people. Great perks, salary and benefits. Ability to work autonomously.","Demanding job, tough to disconnect",
"""Great place to work""","Mar 24, 2016",5.0,Current Employee,Anonymous Employee,,,,smart people,Benefits,"too big of a company, hard to move up in company, hard to balance work with social life",
"""Software Engineer""","Mar 24, 2016",5.0,Current Employee,Anonymous Employee,,Recommends,Positive Outlook,I have been working at Google full-time,"The main benefit of working with Google are the facilities they offer, in addition to the services and benefits associated with being part of the company. There are many speakers, conferences, work shops going on the campuses and there is no shortage of interesting problems to solve and interesting people to meet.","Because the talent pool is so deep in google, some very talented people end up doing trivial things. Also, though the company is of considerable size, career mobility isn't all you would think it is and is more of a resume booster than a company to grow old with.",
"""Just can't go wrong!""","Mar 22, 2016",5.0,Former Employee,Head of Marketing,"Mountain View, CA",Recommends,Positive Outlook,- Performance review process cumbersome; ratings system ineffective and biased,+ Fantastic work culture,"- Some of the middle management (Directors, VP) just cruise, doing nothing, acting busy",
"""Great benefits!""","Mar 23, 2016",5.0,Current Employee,Anonymous Employee,,,,,"Don't need to worry about breakfast, lunch and dinner on weekdays. Nice health benefits. Good company culture.",Frequent shuffling on management and teams.,
"""Google Executive Manager""","Mar 23, 2016",5.0,Former Employee,Anonymous Employee,,,,,"great work environment, great benefits",I do not have any cons about google except that the traffic getting in and out is horrible.,
"""Project Manager""","Apr 6, 2016",4.0,Former Employee,Anonymous Employee,,,,,it's fun place to work for,It seems to me that all people working there need to commit more personal time than what i expected,
"""IT Resident""","Mar 21, 2016",5.0,Former Employee,Anonymous Employee,"Pittsburg, CA",Recommends,Positive Outlook,I worked at Google (More than a year),"Great company and makes you feel like home. Dream come true! Great perks, loved testing things before they went public, great food, and great people to work with. Many many",Interview process does take quiet a while,
"""Great place, to work - sometimes work life balance suffers""","Apr 4, 2016",4.0,Current Employee,Anonymous Employee,,Recommends,Positive Outlook,"Would recommend to friends, should fit any stage of career as there's always something to learn here and lots of great people to learn from.","Great place to work, excellent compensation and good career opportunities.","Some level of politics, can feel a little disorganized at times!",
"""Great fun, awful management""","Apr 5, 2016",2.0,Former Employee,Anonymous Employee,"Mountain View, CA",Doesn't Recommend,Positive Outlook,Show More,"Food, parties, and fun! Endless fascinating presentations by authors, presidential candidates, musicians, technology innovators. Opportunities to design and run your own internal contests and incentive programs to improve engineering practices throughout the company. All the great extras you have heard about. And some top geniuses to work with. It's exciting and rare to get to work with the inventors of … ","One exception to the ""great benefits"": they do *not* provide child care -- although they (and tech journalists) say they do. Many of my female (and male) coworkers were blindsided by this after joining Google with the promise of company day care. This is an unconscionable bait-and-switch.",
"""Love My Work""","Mar 17, 2016",5.0,Current Employee,Senior Release Engineer,"Mountain View, CA",Recommends,Positive Outlook,I have been working at Google full-time (More than 5 years),"Really intelligent people to work with, great infrastructure and tools, focus on excellence.",Traffic into work can be discouraging.,
"""Inspiring and humane.""","Mar 17, 2016",5.0,Current Employee,Senior Software Engineer,"Cambridge, MA",Recommends,Positive Outlook,I have been working at Google full-time (Less than a year),"Incredibly smart coworkers, best tools I've ever used, silly offices, free food, one project can affect millions of people and dollars.","Imposter syndrome. For me, long commute. Twenty percent time is hard to make time for. The delicious food will make you fat.",
"""A Sense of Being Part of Something Big""","Mar 17, 2016",5.0,Current Employee,Analyst,"Mountain View, CA",Recommends,Positive Outlook,I have been working at Google full-time (More than a year),Seemingly unlimited resources; work with top/diverse talent from across the globe; amazing perks from food to testing of prototype consumer technologies.,Extremely competitive; take home pay is not as high as non-Googlers assume it is; many poorly socialized individuals around.,
"""Google review""","Apr 4, 2016",4.0,Current Employee,Analytical Lead,"New York, NY",Recommends,Positive Outlook,I have been working at Google (More than 3 years),"Overall Google is a great company to work for - with the Perks, ressources, and the overall inspiring mission",with the years and the company growing bigger - one can now face a lot of Politics and the pace of things have been moving slowly because of bureacracy,
"""google is a great place to work. no complaints""","Mar 20, 2016",5.0,Former Employee,Anonymous Employee,,,,,google is a great place to work. no complaints,salaries could be higher. perks are great,
"""They treat you well, but it's easy to get into a groove""","Mar 30, 2016",4.0,Current Employee,Anonymous Employee,"San Francisco, CA",Recommends,Positive Outlook,I have been working at Google full-time (More than 3 years),"Smart people, limitless opportunities (if you're willing to work in Mountain View, great name to have on your resume, fun and relaxed work environment, free food","It's getting very corporate with people who don't think outside of the box or are willing to try anything new (sales org), promotion and compensation is wholly political",
"""Work and Life""","Mar 15, 2016",5.0,Former Employee,Anonymous Employee,,Recommends,Positive Outlook,Approves of CEO,The best company I have been to! Learnt a lot and I love the working environment.,Very big company. Hard to be visible and remember people that you have worked with.,
"""Gogole""","Mar 19, 2016",5.0,Current Employee,II V Years,"San Francisco, CA",Recommends,Positive Outlook,I have been working at Google full-time,"Great culture, smart, motivated employees","Can be cloistered, ivory tower",
"""Production Designer""","Apr 1, 2016",4.0,Former Employee,Anonymous Employee,,Recommends,,Approves of CEO,Open to share design. You have a chance to expand your interest for your career and people will help.,"Depends on which department you work for, you people work same project and it could be competitive.",
"""booker""","Mar 31, 2016",4.0,Former Employee,Anonymous Employee,,Doesn't Recommend,Neutral Outlook,I worked at Google full-time,you getto work from home but u dont get paid as much when you work,very far from my house but everything eslse was ok you get paid ggood and they work through oyor scehdule,
"""software engineer""","Mar 13, 2016",5.0,Current Employee,Anonymous Employee,"Kirkland, WA",Recommends,Positive Outlook,Approves of CEO,great teams and location and food,the worst thing in the area is traffic,
"""good team, poor hr""","Mar 24, 2016",3.0,Former Employee,Research Scientist,"Mountain View, CA",Recommends,Positive Outlook,Show More,it was fun working with smart people.,HR and recruiters are not helpful and were often rude.,
"""Amazing place to work""","Mar 16, 2016",5.0,Current Employee,Anonymous Employee,,Recommends,Positive Outlook,I have been working at Google full-time,Smart people who are passionate about their job.,Tons of bureaucracy. Promotions are made unnecessarily difficult.,
"""hello world""","Mar 30, 2016",4.0,Former Employee,Anonymous Employee,,,,,"its google, the end all be all",they think they are better than everybody else,
"""Great""","Mar 15, 2016",5.0,Former Employee,Anonymous Employee,,,,I worked at Google full-time,There a huge diversity of work ranging from defending independent journalism worldwide (Google Project Shield).,"The company is becoming bigger and bigger each year, which brings on its own problems.",
"""Greatest place to work""","Mar 16, 2016",5.0,Current Employee,Anonymous Employee,,Recommends,,Approves of CEO,"Super smart people, engineering culture.",Not too many career advance opportunities.,
"""Greta place to work""","Mar 16, 2016",5.0,Current Employee,Anonymous Employee,,Recommends,Positive Outlook,Approves of CEO,Everyone is vibrant and high-energy. Truly a fun place to get your nerd on. Oh and we do work sometimes. The campus is huge and contains many perks such as a gym and cafeteria.,The projects are fast paced so be prepared. We work nonstop although it's not always a serious environment. During breaks we tend to avoid talking about work because we are always so busy with it.,
"""Past its Prime""","Mar 26, 2016",2.0,Current Employee,Anonymous Employee,"New York, NY",Doesn't Recommend,Neutral Outlook,Show More,"Great perks (fitness offerings, massage, food, retirement program, health benefits), looks good on a resume and the chance to work on some great products with huge numbers of users.","The company has become clunky and bureaucratic. Employees are rewarded for being able to ""play the game"", negotiate internal politics and promote themselves, rather than for doing truly good work. Many of the best and brightest from Google's early days have moved on to more interesting and nimble companies and we are left with a good number of ""lifers"" who are not the sharpest, but understand the system well enough … ",
"""Great infra, but moves slowly""","Mar 26, 2016",4.0,Current Employee,Staff Software Engineer,"Kirkland, WA",Recommends,Positive Outlook,I have been working at Google full-time (More than 8 years),"Great infrastructure, which makes it easy to deal with probably at scale.","It's a large company, so sometimes hard to make an impact.",
"""Great perks but not so intellectually challenging CS work""","Mar 30, 2016",2.0,Current Employee,Anonymous Employee,,,,I have been working at Google full-time (More than a year),Good food and great perks,Work may not be very exiting,
"""Google review""","Mar 28, 2016",4.0,Current Employee,Anonymous Employee,,,,Keep the recruitment bar high,- Great compensation,- company is getting bigger and bigger - your impact becomes smaller,
"""Wonderful company""","Mar 28, 2016",4.0,Current Employee,Anonymous Employee,,,Positive Outlook,Approves of CEO,the obvious benefits of working at Google,very bureaucratic promotion process they are working on it though.,
"""Great work place""","Mar 13, 2016",5.0,Current Employee,Anonymous Employee,,Recommends,Positive Outlook,Approves of CEO,"Smart co-workers, challenging problems, great perks",Can't think of any at the moment,
"""Amazing place to work""","Mar 14, 2016",5.0,Current Employee,Anonymous Employee,,Recommends,Positive Outlook,I have been working at Google full-time,Amazing place to work - great people and great benefits,This is not a place to coast - come ready to make a difference.,
