Title,Date Written,Rating,Current/Former,Job Title,Location,Recommendation?,Outlook,Main Text,Pros,Cons,Advice to management
"""Not the 'Best Place to Work'""","Mar 28, 2018",3.0,Current Employee,Anonymous Employee,,Doesn't Recommend,Neutral Outlook,Show More,- Salary is good.,"- Specifically to IT...Some good management, but also some very bad.",Worse IT management in my experience.
"""Portfolio""","May 1, 2018",1.0,Current Employee,Anonymous Employee,"San Francisco, CA",Doesn't Recommend,,I have been working at Charles Schwab full-time (More than 5 years),Vacation time and sabattical time off,One hand does not know what the other is doing. There are many people with no degree whatsoever managing other people. The management is bullying the employees and retaliates against them if you call HR,
"""Brokerage Services Representative""","Mar 30, 2018",4.0,Former Employee,Anonymous Employee,,,,I worked at Charles Schwab full-time,"Amazing training, team approach, an opportunity for growth, and a positive work environment.",All time is micro-managed.,
"""Downhill fast""","Apr 26, 2018",1.0,Current Employee,"Vice President, Financial Consultant","Denver, CO",Doesn't Recommend,Negative Outlook,Show More,Used to be a good company,- Company has lost itself completely,- Your best and strongest employees are losing productivity because of initiatives which in theory are a good idea are being implemented by people who don't care about unleashing anyone's potential and are most concerned with falsified button click metric reporting to keep themselves employed at a place where they don't even have to show up to work.
"""Associate Administrative Assistant""","Mar 30, 2018",5.0,Current Employee,Anonymous Employee,,Recommends,Positive Outlook,I have been working at Charles Schwab full-time,Great people who care about you over the company,Benefits are average and could be better with c-pays.,Give employees who don't take your benefits money back in their paychechecks
"""Senior Manager""","Mar 19, 2018",4.0,Current Employee,Senior Manager,"San Francisco, CA",Recommends,Positive Outlook,I have been working at Charles Schwab full-time (More than 5 years),"Culture, growth potential, and diversity",Relatively lower than industry salary,Higher paid
"""Investment Consultant""","Mar 26, 2018",5.0,Current Employee,Anonymous Employee,,,,I have been working at Charles Schwab full-time (More than 10 years),Innovating financial company with low cost solutions to help people & businesses.,A fast growing company may struggle with service delays at times.,
"""RPC""","Mar 26, 2018",4.0,Current Employee,Anonymous Employee,,,,I have been working at Charles Schwab full-time,"Great team. Good benefits, challenging",Lack of communication from management. Back office dissaray,listen more
"""Full-time with Schwab""","Mar 25, 2018",5.0,Current Employee,Anonymous Employee,,,,I have been working at Charles Schwab full-time (More than 5 years),"Great people, quality products offered to clients",Lack of job opportunities in some cities,
"""registered rep""","Mar 25, 2018",4.0,Former Employee,Anonymous Employee,,,,not a lot of upwward mobility,good culture good management good training,pay is low,
"""Participant Services Associate""","Mar 29, 2018",2.0,Current Employee,Participant Services Representative,,Doesn't Recommend,Neutral Outlook,Show More,"Management is helpful, depending on your manager. Some managers may breathe down your neck though. People are very friendly and easy to work with. Semi-relaxed atmosphere. Lots of overtime available if you're looking to increase your pay. Learned lots about 401(k) and retirement plans. Good starting position (if you can survive). Good training for series 7 and 66.","Pretty low starting salary. Micro-managing can be an issue depending on your manager. The interview was very misleading. If you are thinking about applying for this position, it is a call center. You are on the phones your entire shift. You are expected to do extra work but a typical day doesn't even allow you enough time to look at your email. You have to adhere to your schedule by. the. minute. Seriously, if you … ",Let us have a life outside of work. Let us be able to take days off when needed. Stop viewing the call center as a statistic. Hire more reps so that you have enough coverage for other reps to not be on the phones their entire shift. Reinvent the software around PSD.
"""Great Company but old bureaucratic ways at the root""","Mar 20, 2018",3.0,Current Employee,Marketing Manager,"Lone Tree, CO",Doesn't Recommend,Neutral Outlook,I have been working at Charles Schwab full-time (Less than a year),"Great benefits, work-life balance, ample work to be down.","Schwab loves the word ""collaboration"" which slows down the process, increases the politics, and ultimately leaves its workers depending on the decisions of management and not decisions of their own.",Let go of the hierarchy and focus on staying competitive by providing the best financial service experience possible.
"""Sr. Manager""","Mar 29, 2018",2.0,Current Employee,Anonymous Employee,,Doesn't Recommend,Positive Outlook,I have been working at Charles Schwab full-time,I have really nice co-workers.,"Very low salary, no career path.",Place a higher value on your employees.
"""Financial Services Providor""","Mar 22, 2018",4.0,Current Employee,Anonymous Employee,,,,I have been working at Charles Schwab full-time,Excellent training and a good place for growth.,You are taking calls for most of the day so it can be a bit draining.,
"""Stuck in the Middle with You""","Mar 27, 2018",3.0,Current Employee,Anonymous Employee,,Doesn't Recommend,Neutral Outlook,I have been working at Charles Schwab full-time (More than 3 years),Good firms to work for when first starting out and getting your first job out of college. Firm creates a great experience for fist time employees,Stuck in a change for change sake model. Disconnect between vision of executive management and execution by middle management. Too many hours being ghosted by front line employees.,"manage your people, not your projects."
"""Great place to work""","Mar 20, 2018",5.0,Former Employee,Relationship Manager,"San Francisco, CA",Recommends,Positive Outlook,I worked at Charles Schwab full-time (More than 3 years),Generally people are very nice and completely committed to delivering results for the clients.,The highly collaborative environment can make it hard to reach a decision quickly.,
"""Call Center-College Students and MBA's Avoid""","Apr 17, 2018",1.0,Former Employee,Financial Services Professional,,Doesn't Recommend,Neutral Outlook,I worked at Charles Schwab full-time,"Good benefits and 401(k), not much else","The pay is mediocre. Make no mistake, you are working in CALL CENTER. Every minute of your time is micro-managed. You can make many lateral moves, but still are in call center position. There is no regard for education-many managers are simply uneducated.","If your manager has no college degree, but someone has a master's degree under them-something is wrong. Notice your intelligent employees before they leave."
"""Not what know but who you know in IT""","Mar 19, 2018",3.0,Former Employee,IT Analyst,,Doesn't Recommend,Positive Outlook,Show More,"Decent benefits, sabbatical, Walt is still strong leader.","Internal promotions from Staff to Sr or to Manager is zero because VPs bringing in their friends from other companies. These new line of managers lack knowledge and skills but can spill out buzzwords a mile a minute. Combined with hiring power-monger staff eager to dominate the team, we now have this toxic cultural mess. Used to be a courteous professional setting but now it is blatant power mongering and self … ","Lots of strong leaders lost from the ""geostrat"" but their replacements are nowhere near the level of expertise in terms of tech skills and managerial/peopleship skills. It's now a game of who you know and who I can bring in to hide my incompetencies so I can continue building out my domain."
"""Are you part of the IN crowd""","Apr 12, 2018",1.0,Current Employee,Anonymous Employee,"Phoenix, AZ",Doesn't Recommend,Negative Outlook,Show More,None at all haven’t experienced one,"This place is worse than high school. Treatment from management is based on your band level. This is not just your manager this treatment comes from other departments managers, directors as well as VPs and above. They act like you are not worth their time and look at you as though you don’t have a right to speak to them.","Change treat people equally, lower bands are not scum of the world. Give everyone a work life balance promote within"
"""Really cares for their employees""","Mar 16, 2018",4.0,Current Employee,Senior Manager,"Phoenix, AZ",Recommends,Neutral Outlook,I have been working at Charles Schwab full-time (More than 8 years),Good pay and bonus program based off the position and how well you perform. Well established company that is performing very well. Really solid focus on clients,"Some politics to deal with at times, which can get in the way of decisions or work to be done",Focus more on employees
"""Advice""","Mar 4, 2018",5.0,Current Employee,Anonymous Employee,,Recommends,,I have been working at Charles Schwab full-time,"Great culture, training for career advancement is fair",The pay is low considering the daily volumes.,There needs to be more diversity in management & HR.
"""Great Company to Learn the Industry, Poor Management/Autonomy, Below Average Pay""","Mar 22, 2018",3.0,Former Employee,Anonymous Employee,,Doesn't Recommend,,"20-30% lower pay than average in industry (Goldman, Morgan, etc). Be prepared that you will be making very meh money for the finance industry","Great training platform,","Poor management structure, managers don't do their jobs. Coaching is poor, and many things can go missed for weeks/months and therefore become bigger issues when they come to light.",
"""Great company!""","Mar 14, 2018",5.0,Former Employee,Anonymous Employee,,,,I worked at Charles Schwab full-time,Has a great work/life balance,I can't think of any,
"""Great place to work in""","Mar 13, 2018",5.0,Former Employee,Anonymous Employee,,Recommends,Positive Outlook,I worked at Charles Schwab full-time,"Benefits, work experience and growth",nothing I could think of at this time,
"""Participant Services""","Mar 11, 2018",3.0,Former Employee,Participant Services Representative,"Richfield, OH",Doesn't Recommend,Neutral Outlook,Show More,-The People,I interviewed for this role and I thought it was going to be a great position for me. A few weeks into the job I knew I made a mistake. I lasted 2 years but should have left before then. You are in a call center. You are chained to your desk. You must adhere to your schedule at all times. When you start you are training for a few weeks but the training isn't a real indicator of what you're going to be dealing with. … ,Hire more reps or educate participants on using schwab plan online.
"""Client relationship Specialist""","Mar 15, 2018",3.0,Current Employee,Client Relationship Specialist,"Westlake, TX",Recommends,Positive Outlook,I have been working at Charles Schwab full-time (Less than a year),Nice atmosphere and good benefits. Soon to be moving into a new building with potential of 5000 employees. Great location to home. Snacks.,"Sitting all day answering phones. Being watched constantly to make sure you are answering enough calls or jobs. Low pay, even after attaining series 7 and 66.",
"""Good place to work at""","Mar 25, 2018",3.0,Current Employee,Anonymous Employee,,,,I have been working at Charles Schwab full-time,Place for growth and great culture,Not everyone wants to start off on the phones,Give people meaningful work
"""Ok...low wages though""","Mar 8, 2018",3.0,Former Employee,Executive Assistant,"San Francisco, CA",Doesn't Recommend,Positive Outlook,I worked at Charles Schwab full-time (More than a year),The people and location are great.,Pay was well below industry and market average,"Invest in your people. Pay more,"
"""Not really a ""Best Place to Work""""","Feb 23, 2018",3.0,Former Employee,Anonymous Employee,"Lone Tree, CO",Doesn't Recommend,Neutral Outlook,I worked at Charles Schwab full-time (More than a year),Salaries are competitive and the work is interesting.,Corporate culture is not consistent across the company. The organization I was in was dismantled after I left. There is too much emphasis on onshore/offshore contracting. It created a language and time zone barrier.,"If you're going to do Agile, the do Agile. Trying to do a hybrid is a nightmare and inefficient. Reduce the reliance on offshore contract labor. They maybe cheap, but you're not getting the value."
"""It’s used to be way better""","Mar 3, 2018",2.0,Current Employee,Senior Relationship Specialist,"Maitland, FL",Doesn't Recommend,Negative Outlook,I can’t think of any other pros,Some of the people still have a brain. But the number is getting lower and lower every week.,Those that do have a brain are quickly overshadowed (and outnumbered) by those that don’t have a brain. Complete disconnect of the company brand VS managing directors expectations VS reality,Listen to your service “professionals” we are literally drowning! Your expectations of us are though the roof! Pay your people more and make them WANT to stay instead of burning them out with little pay. I truly hope it will get better but with our current directors and vp I highly doubt it
"""Good Company""","Feb 26, 2018",4.0,Current Employee,"Senior Team Manager, Operational Risk","Lone Tree, CO",Recommends,Positive Outlook,I have been working at Charles Schwab full-time (More than 5 years),Schwab has a great culture and has a great presence in the community. They really do right by the customer.,There are silos but they are working to improve this.,
"""Managing Director, IT""","Feb 28, 2018",3.0,Former Employee,Anonymous Employee,"San Francisco, CA",,,I worked at Charles Schwab full-time (More than 5 years),"Good pay, benefits, bonuses, people (who are no longer there), management.","Stressful work environment, too much outsourcing, offshoring, heavy on the process, challenging to move up.",
"""great company!""","Feb 25, 2018",4.0,Former Employee,Anonymous Employee,,Recommends,Positive Outlook,I worked at Charles Schwab full-time,"culture, people, comp package, sabbatical, location, building and amenities",large company comes with red tape,n/a
"""If you like working in a culture of management clicks, then this is the place for you""","Mar 18, 2018",1.0,Former Employee,Senior Manager,"Lone Tree, CO",Doesn't Recommend,Neutral Outlook,Show More,"The people are great, benefits are decent and include a sabbatical every 5 years, The new campus in Lone Tree is nice, lots of opportunities to network outside of you daily grind.","Management, management, management. As in most large organizations it depends on where you work. This company does not value workers over 40 unless you want to work part-time sitting on a phone. The technology management is a Visa click-club at best. The culture wasn't much better before all of the changes occurred with the real estate strategy that was implemented over the last 5 years. Hiring only those that they … ",Value ALL of your people. If you don't retain some of your longer tenured employees your clients are going to be the ones to suffer. Your short sightedness for the sake of rushing product to market is going to cost you in the long run. There are some really great people working in this company and you are going to loose them if you don't start paying attention and get rid of those toxic MDs that work overtime to … 
"""Great company to work for or with with as a client""","Feb 9, 2018",4.0,Former Employee,Technology,"San Francisco, CA",Recommends,Positive Outlook,Show More,"Excellent benefits. 1 month sabbatical every 5 years. Good 401k match, ESPP, potential for stock options (well, in the past). Interesting technology if that's your area.","They used to have a saying that they were 'a technology company that happened to do finance'. For a long time they were at the head of the industry in terms of innovation. They are still at the top of the pack, but internally the mindset has definitely shifted to focusing on being a brokerage that uses technology efficiently. Which means outsourcing, offshoring, and moving many of the back office work to external … ",Don't give up on the bay area! There's so much talent here. You might miss out on the next big technology with your heads in the the sand of Phoenix.
"""AML Compliance Investigator""","Feb 19, 2018",5.0,Current Employee,Anonymous Employee,,Recommends,,I have been working at Charles Schwab full-time,"This is an ideal environment for a woman to grow her career. From the very beginning, I felt taken care of by the management team which is filled with girl power and helps groom the next generation of female leaders at Schwab.",Sorry boys... Nobody cares about you here :-),
"""I miss my work family!""","Feb 19, 2018",5.0,Former Employee,BA Analyst,"Richfield Center, OH",Recommends,Positive Outlook,I worked at Charles Schwab full-time (More than 10 years),"Great pay, benefits, bonuses, people, management.",There are not any cons that I can think of.,Keep up the fantastic work!
"""Great Place to Work""","Feb 11, 2018",5.0,Current Employee,Anonymous Employee,,,,Many options for advancement,Great Culture,Must be licensed to advance,
"""Don't bother to look in SF""","Jan 25, 2018",3.0,Former Employee,Managing Director,,Doesn't Recommend,Neutral Outlook,Show More,"Good work/life balance in general. The people I worked with were very nice, respectful and smart. Sabbatical every 5 years (for now). Decent benefits.","In my opinion, the company is on track to eventually move out of SF altogether. There is very little opportunity to move up or even laterally in SF. Morale is terrible because of all the layoffs. In addition, they have replaced people with deep experience at the company with much less experienced people who don't have the same skill level or intellectual maturity. If you are over 40 don't bother applying here - they … ",They don't listen so I won't bother.
"""Associate Financial Service Professional""","Feb 18, 2018",3.0,Current Employee,Anonymous Employee,,Doesn't Recommend,,I have been working at Charles Schwab full-time,"Great Benefits, Great Pay, Structure Environment","Same day to day, Conservative Corporate, Lack of actual growth, Professional Robot",
"""operation specialist""","Feb 7, 2018",5.0,Former Employee,Operations Specialist,"Phoenix, AZ",Recommends,Positive Outlook,I worked at Charles Schwab full-time (More than 10 years),The work is very diverse and update tool in technology.,The workload is very high with different department.,The management is depended team to team and needed more resource for management.
"""Executive Assistant to EVP""","Feb 5, 2018",4.0,Former Employee,Executive Assistant,"San Francisco, CA",Recommends,Neutral Outlook,I worked at Charles Schwab full-time (More than 8 years),The pay and benefits are outstanding,It is a Stressful work environment,Continue to engage the employees
"""Associate Relationship Specialist""","Feb 6, 2018",5.0,Current Employee,Anonymous Employee,,,,I have been working at Charles Schwab full-time,"Stable job, friendly staff and great benefits","The job can be stressful at times, but if you stick with the training, you should be able to keep up.",
"""Charles Schwab is a toxic company to work for.""","Feb 27, 2018",1.0,Current Employee,Anonymous Employee,,Doesn't Recommend,Negative Outlook,No opinion of CEO,Their benefits are similar to other companies. They are just ok. There really is nothing positive that I can list here.,Most of the managers here are incompetent or passive-aggressive. The attrition rate is very high. The culture is very toxic and people are run ragged and not appreciated. I would have left a long time ago given the opportunity. I do not recommend this company to anyone.,
"""Senior Quality Assurance""","Feb 10, 2018",2.0,Current Employee,Anonymous Employee,,Doesn't Recommend,Negative Outlook,I have been working at Charles Schwab full-time,"Campus, people, atmosphere, benefits, technology","Opportunity/advancement, work life balance, management",Promote from within
"""Great company, misleading management""","Feb 8, 2018",3.0,Current Employee,Anonymous Employee,,Recommends,Neutral Outlook,Managers are willing to coach,Fun environment,Very poorly explain job expectations prior to hire,Be upfront about what you're hiring people to do rather than creating fancy titles for a call center job
"""Fast Pace, Call Center""","Jan 29, 2018",5.0,Current Employee,Anonymous Employee,,Recommends,Positive Outlook,Taking a lot of calls per day and having to meet certain numbers,Great coworkers/managers.,Call center,
"""Software Engineer""","Jan 31, 2018",5.0,Current Employee,Software Engineer,"Dallas, TX",Recommends,Positive Outlook,I have been working at Charles Schwab full-time (Less than a year),"Fast Growing, latest and diverse technology stack, transparent management, friendly people",It can be overwhelming in the beginning,Keep up the great work
"""AFC""","Jan 30, 2018",4.0,Former Employee,Anonymous Employee,,Recommends,Neutral Outlook,I worked at Charles Schwab full-time,Great support system and ability to obtain additional credentials,Hard work for little pay.,Focus on current employees.
"""Hard job""","Feb 3, 2018",3.0,Current Employee,Resolution Specialist,"Noblesville, IN",Doesn't Recommend,Neutral Outlook,I have been working at Charles Schwab part-time (More than 10 years),The 401k is nice. Benefits are ok. Low level management really seems to care about the employees. The place is heated in the winter.,Dealing with poorly trained staff is a constant battle. The management would rather have untrained people answer the phones 10 seconds faster than actually spend time on employee development,
"""Sad that a great service oriented company by brand does horrible service to it's employees""","Jan 23, 2018",2.0,Current Employee,Financial Advisor,"Austin, TX",Doesn't Recommend,Neutral Outlook,I have been working at Charles Schwab full-time (More than 5 years),"Smart people, lot's of good talking points, Chairmans end of year recognition is great.","Pay, technology, abuse of trust by upper management, not enough advancement potential, you have to ""eat crap"" of clients all day, everyday AND your manger will throw you under the bus after you do.",Fire yourselves.
"""Sr Manager""","Jan 27, 2018",2.0,Former Employee,Anonymous Employee,"Lone Tree, CO",Doesn't Recommend,Negative Outlook,Less outsourcing,Nice campus,Horrible management,Hire new management
"""Programmer""","Feb 4, 2018",3.0,Former Employee,Anonymous Employee,,,,No opinion of CEO,Learned a lot about software development,Many difficult bosses. Lots of oncall,None
"""Client service representative""","Jan 27, 2018",5.0,Former Employee,Customer Service Representative,"Phoenix, AZ",Recommends,Positive Outlook,I worked at Charles Schwab full-time (More than a year),Good place to work. They care about their clients. Great training to learn about the industry. My manager was great understand us as employee.,Mobility it’s very hard to move up in the company because employees do not leave. If your able to get in a top paying role people usually stay.,Identify talent early
"""Good Company""","Jan 22, 2018",5.0,Current Employee,Anonymous Employee,,,,I have been working at Charles Schwab full-time (More than a year),Paid training. Lots of networking opportunities,Overall Salary compared to other smaller firms.,
"""Overall good place to work and develop a career""","Jan 23, 2018",4.0,Current Employee,Anonymous Employee,,Recommends,Positive Outlook,I have been working at Charles Schwab full-time (More than 10 years),"Decent benefits like ESPP, reasonable company match, stock awards for top performance, award trips for top performance, sabbatical every 5 years, generous vacation accrual and best of all, a company philosophy that puts the clients first. For 18 years I've seen that philosophy in practice.","No ESPP look-back, difficulty in implementing a compensation system that rewards top performers, entry level jobs can be difficult and there's a fairly high rate of burn out. In general, the goal for overall compensation is to be average relative to our industry. Leadership wants excellence but doesn't always reward it.",Listen to your employees and their concerns. Some recent decisions suggest that decisions are being made without consideration to all parties.
"""Enjoyable but frustratingly slow""","Jan 23, 2018",4.0,Current Employee,Anonymous Employee,,,,I have been working at Charles Schwab part-time,"Good benefits, relaxed office environment","Slow, giant bureaucracy. Frustrating development enviornments",
"""great benefits, great co-workers""","Jan 23, 2018",4.0,Former Employee,Anonymous Employee,"Austin, TX",Recommends,Positive Outlook,I worked at Charles Schwab full-time (More than 5 years),"Company has good benefits package for FT employees. I worked with smart people, who were soluutions-oriented.","As with most companies, leadership may not like it when team members call them out on their stuff that gets in the way of good work.",Allow feedback to create change for the good and not cause for retaliation.
"""Like anywhere, it depends on who you work with...""","Jan 11, 2018",3.0,Former Employee,Senior Specialist,"Highlands Ranch, CO",Doesn't Recommend,Positive Outlook,I worked at Charles Schwab full-time (More than a year),"Schwab has great benefits and work life balance. The parking lot is essentially empty by 5pm. Executive leadership is genuine, honest and appreciates their employees through surprise bonuses or HSA contributions. From the macro-level this is a great company to work for.","A lot of really bad people and project managers have made their way into the ranks. If you get one of these people as your manager or supervisor, you won’t last long if they decide they don’t like you. I was verbally harassed every day and eventually forced out.",Executive management needs to take a closer look at who is running their departments. Hire mature and thoughtful people leaders and not just because they are subject matter experts. People are getting burned very badly all around the organization and it will affect the Schwab brand.
"""A GREAT company""","Jan 18, 2018",5.0,Current Employee,Member Service Representative,"Southlake, TX",Recommends,Positive Outlook,I have been working at Charles Schwab full-time (Less than a year),"Team atmosphere with recognition for individual performance, great benefits, inclusion & awards regularly, very professional environment, opportunity for overtime.","You have to pass the Series 7 exam within first 180 days of employment or face termination, regardless of performance up to that date.","Honestly, they're doing a great job! I'm very happy in my work. It's a great company to work for."
"""Specialist""","Jan 22, 2018",4.0,Former Employee,Anonymous Employee,,Recommends,,I worked at Charles Schwab full-time,Great pay and benefits,"It can be challenging to move up. Not because the opportunity isn't there, but because people love there jobs and don't leave",
"""Good company but I don't see how advisors can retire here""","Dec 18, 2017",3.0,Current Employee,Financial Consultant,"Washington, DC",Doesn't Recommend,Positive Outlook,Show More,"There are lots of good here at Schwab. Benefits are what I expects at a major company and it offers a base salary. If you are new or have limited experiences in the financial industry, it's a great company to start your career.","With all companies, Schwab has it's cons. Rather or not you can live with it is up to the individual but I don't see how anyone can work here for the long term. I think the management team knows and expects that. The biggest issue here is compensation for FCs (or in branch advisors). They want you to work like a ML or independent advisor going out and get business. However, they don't pay you like one. The worse is … ","Even thou my tenure with Schwab was short, I enjoyed working there. I had to leave because I don' see a future with the company. That is something to be said about this statement. A great company that I don't see how I can work for. I can't see how working for a great company will make sure that me and my family will be successful in the long run. Just think about that and ask yourself why would your employee said … "
"""Poor management in Austin office""","Jan 23, 2018",2.0,Former Employee,Financial Services Representative,"Austin, TX",Doesn't Recommend,,I worked at Charles Schwab full-time (More than a year),The healthcare benefits were very good.,Management underpays and requires a alot of work. Breaks are timed. Strict adherence to time makes you feel like you being held hostage.,loosen up.
"""Product Manager""","Jan 23, 2018",2.0,Former Employee,Product Manager,"Lone Tree, CO",Doesn't Recommend,Neutral Outlook,I worked at Charles Schwab full-time (More than 5 years),Agile implemented at the development team level,No buy in to agile on the business leadership side,Learn how to scale agile; listen to your agile enthusiasts.
"""One of the best companies to work for in CO""","Jan 16, 2018",5.0,Former Employee,Senior Staff Applications Software Engineer,"Lone Tree, CO",Recommends,Positive Outlook,Nice campus in Lone Tree,Good benefits,Work-Life balance is non-existent. This is due to the dependency on off-shore which is not that great.,None
"""If you don't live and breath Finance, then you are looked upon as lazy""","Jan 20, 2018",2.0,Current Employee,Transfer Asset Associate,"Maitland, FL",Doesn't Recommend,Negative Outlook,I have been working at Charles Schwab full-time (Less than a year),"Great Pay, Opportunity for advancement, Benefits start day 1, ability to learn anything you want in the Finance industry, will pay for all Certificates, Every 5 years you get a 30 days off-Paid","Call Center, you are expected to have your whole life revolve around Charles Schwab, Odd cult-like atmosphere.",Some people don't want their whole lives to revolve around work. Just because we work together doesn't mean we are friends.
"""Great Place to work""","Jan 15, 2018",5.0,Former Employee,Anonymous Employee,,Recommends,Positive Outlook,Great Benefits,Client Focused,Has the same pitfalls as any large organization. Very slow to change. There can be a lot of red tape.,
"""Meh""","Jan 16, 2018",3.0,Former Employee,Anonymous Employee,,,,,"Nice people, nice managers, cafeteria onsite, free bus pass if a permanent employee.",Once you learn everything in your department you basically need to apply out as there really isn't any ability to move up.,
"""The best place I have ever parked""","Jan 9, 2018",5.0,Former Employee,Vice President,"San Francisco, CA",Recommends,Positive Outlook,Outside to continue career growth. Broke my heart having to leave.,"Amazing corporate culture, Great Benefits, 401K, salary, executive engagement, training, bonuses, ethics, founders vision is alive, customer focused, results oriented, stock price managed well. I would return",Difficult for VPs to change tracks in the organization requiring you to look a,Don’t forget where you have been.
"""Technical Project Manager""","Jan 19, 2018",3.0,Current Employee,Technical Project Manager,"Chicago, IL",Recommends,Positive Outlook,I have been working at Charles Schwab full-time (More than 5 years),Schwab is one of the best places to work as far as providing fundamental benefits. They’ll never short change you.,"Favoritism is a key factor in upward mobility. You may outperform your peers, but if you’re not with the in-crowd, you’re out of luck.",
"""Great Company""","Jan 7, 2018",5.0,Current Employee,Client Service Specialist,"Indianapolis, IN",Recommends,Positive Outlook,I have been working at Charles Schwab full-time (More than a year),Schwab is a fantastic company to work for! The benefits are amazing and the people are awesome! They are very understanding of family and medical needs and try to be helpful in whatever way you can. They have amazing paid parental leave and great opportunities for moving around within the company.,"The jobs are not hard, it's just that it is a call center and that can be emotionally and mentally taxing.",Keep working on improving the systems and listening to those on the front lines.
"""Sr. Manager""","Jan 30, 2018",1.0,Former Employee,Anonymous Employee,,Doesn't Recommend,Neutral Outlook,I worked at Charles Schwab full-time (More than 5 years),Salary and bonus and wonderful people.,Since Trump passed the tax over haul lots of layoffs have been happening to save money even though the company is doing extremely well. I would look elsewhere for job security as this company does not care about its employees.,
"""Team Manager""","Jan 4, 2018",3.0,Current Employee,Anonymous Employee,"Orlando, FL",Doesn't Recommend,Positive Outlook,I have been working at Charles Schwab full-time (More than 3 years),"Benefits, established company, eligible for bonus","Slow at innovation and to adapt to changes, non competitive salaries.",Have to stay in the same position for almost two years . Minimal mobility in operations. Salary increases in general are minimal.
"""Private Client Manager""","Jan 2, 2018",2.0,Former Employee,Anonymous Employee,,Doesn't Recommend,Positive Outlook,I worked at Charles Schwab full-time (More than 8 years),"resources available very good, technology and support excellent","management, out of touch with market demographics compared to east and west coast - harassment from office and regional managers","learn how every market is different in quality of life and dynamics of personal behaviors in investing, its about securing clients not adding assets - learn how to treat your employees and not devote favoritism and harassment"
"""Investment Consultant""","Dec 23, 2017",4.0,Current Employee,Anonymous Employee,,,,I have been working at Charles Schwab full-time,"Good Work life balance, good company culture, great opportunities for growth",this role is a little broth to the branch and at times difficult to close business due to all the rules that conflict with branches wanting the business,
"""Review""","Dec 19, 2017",4.0,Current Employee,Anonymous Employee,,,,I have been working at Charles Schwab full-time,Open door culture. Lots of communication,"Could be passive aggressive, lack of open feedback",
"""Treats employees well, good life/work balance.""","Dec 21, 2017",4.0,Current Employee,Senior Manager,,Recommends,Positive Outlook,I have been working at Charles Schwab full-time (More than 10 years),"They do right for their employees and their clients, lots of people stay for a long time. Good life/work balance, 4 week sabbatical every 5 years, lots of good people that work there.","Can be overly conservative and risk-averse with projects and other things, sometimes allows some bloat with employees. Like any job, your personal experience can vary immensely depending on who your manager is. At times sometimes does not feel product owners are held accountable for success of a product.","Hold product managers accountable, get feedback on managers at all levels from their direct reports."
"""Senior Manager""","Dec 24, 2017",3.0,Former Employee,Anonymous Employee,,Doesn't Recommend,Neutral Outlook,I worked at Charles Schwab full-time,Great company work life balance,Advancement opportunities are non existent,
"""The Schwab Financial Consultant role is NOT a career""","Jan 6, 2018",1.0,Current Employee,Financial Consultant,"Virginia Beach, VA",Doesn't Recommend,Negative Outlook,Show More,Good benefits. Good place to get your feet wet.,Management (especially branch managers) love to micro manage. These days they call it UOP.,"While Chuck isn't coming back to save the day this time, you need to make some major changes. Clients have not been impacted as of yet, but they will."
"""Great company to work for""","Dec 12, 2017",5.0,Current Employee,Business Process Analyst,"Phoenix, AZ",Recommends,Positive Outlook,I have been working at Charles Schwab full-time (Less than a year),"Excellent benefits and pay, and a wonderful culture. Management is committed to ensuring you have the support you need in order to be successful. A sabbatical is provided every 5 years of service.",There really isn't anything that I am not a fan of at Schwab. The only possible thing is that parking isn't great at PEAK.,
"""Horrible workplace for Financial Consultants""","Dec 21, 2017",2.0,Former Employee,Anonymous Employee,,Doesn't Recommend,Negative Outlook,I worked at Charles Schwab full-time,You get a paycheck if you are lucky and drink the kool aid,Upper management is greedy and clueless,None
"""Sr. Manager""","Dec 9, 2017",4.0,Former Employee,Anonymous Employee,"San Francisco, CA",Recommends,Positive Outlook,I worked at Charles Schwab full-time (Less than a year),"I worked at Charles Schwab for more then 10 yrs. It was a great place to work. I had very good managers in San Francisco. Very flexible work environment. Even though they are a financial services company, they use a lot of cutting edge technology.","Sadly the San Francisco location is being scaled down. It was a thriving work place at San Francisco. The new locations in Denver, Austin and Dallas are awesome. technology is still cutting edge.",Continue using state of the art technology. That is your strength.
"""Great company""","Dec 13, 2017",5.0,Former Employee,Vice President,"San Francisco, CA",Recommends,Positive Outlook,I worked at Charles Schwab full-time (More than 10 years),"Great culture, leadership, vision. It's easy to rally behind the future of the company","I don't have much to share here, other than the businesses can be a bit silo'd without enough cross departmental pollenization",Keep focused on your winning story.
"""Good Company""","Dec 11, 2017",5.0,Former Employee,Legal Assistant/Paralegal,"San Francisco, CA",Recommends,Positive Outlook,I worked at Charles Schwab full-time (More than 8 years),Lots of department to train and learn.,Company moved most operations out of SF,
"""DB Department""","Dec 18, 2017",2.0,Former Employee,Anonymous Employee,,Doesn't Recommend,Negative Outlook,Show More,1- Able to dress business casual,"1- No direction or consistent management style. For a small group (within a primarily 401k company), there is little understanding of the product. The department has had two managers (and trying to get a third now) in the past two years.",
