date,title,overall_rating,employee_details,pros,cons,ratings_breakup,outlook
31-Aug-18,"""Love My Job""",5,Current Employee - Cloud Support Associate,#NAME?,"Not really cons, but if we could have food like Google at all times, that would be cool :D
However, we do get team lunches occasionally.","[('Work/Life Balance', '4.0'), ('Culture &amp; Values', '5.0'), ('Career Opportunities', '5.0'), ('Comp &amp; Benefits', '5.0'), ('Senior Management', '5.0')]","['Recommends', 'Positive Outlook', 'Approves of CEO', 'Approves of']"
31-Aug-18,"""My Personal Amazon Prep Life""",5,Current Employee - Prep Problem Solver and Ambassador,I have worked at Amazon for about 2 years now. You get to meet all kinds of people. There are so many ways to talk to leadership. If you have an idea you can share it. The managers are awesome. You can ask almost anyone for help and rarely will someone tell you no. Managers tend to let you do your job without interfering to much.,It can be difficult when you are working hard and see other people slacking and they want to blame management. With the amount of people here it is hard to watch everyone every second. The dress code could certainly be enforced more.,"[('Work/Life Balance', '4.0'), ('Culture &amp; Values', '5.0'), ('Career Opportunities', '4.0'), ('Comp &amp; Benefits', '4.0'), ('Senior Management', '3.0')]","['Recommends', 'Positive Outlook', 'Approves of CEO', 'Approves of']"
31-Aug-18,"""Loved it""",5,Former Employee - Warehouse Associate,"Flexible hours, great starting pay and great management and coworkers",Managers need to be more safety focused and advocate for warehouse safety.,"[('Work/Life Balance', '4.0'), ('Culture &amp; Values', '5.0'), ('Career Opportunities', '5.0'), ('Comp &amp; Benefits', '5.0'), ('Senior Management', '5.0')]","['Recommends', 'Positive Outlook', 'Approves of CEO', 'Approves of']"
31-Aug-18,"""Awesome Company, Great Job""",5,Current Employee - Software Development Manager,"Compensation is tied to the company stock, which brings a huge windfall when the stock is doing well (which it has been forever). Great management with clear vision, compassion, and focus. Many areas are run like startups, with very high levels of empowerment.","Can be long on red tape and complex processes for certain things. You better be ready to bring your A game. You may or may not necessarily have long hours, but high production is expected.","[('Work/Life Balance', '3.0'), ('Culture &amp; Values', '3.0'), ('Career Opportunities', '3.0'), ('Comp &amp; Benefits', '4.0'), ('Senior Management', '4.0')]","[""Doesn't Recommend"", 'Positive Outlook', 'Approves of CEO', 'Approves of']"
13-Sep-18,"""Order Filler""",2,Former Employee - Order Picker,when I started I could make my own schedule but they don't do that anymore. You can cross train and learn different aspects of the job.,"the pay, working in the freezer, can't keep good managers, they don't give raises. Many worked 1-2.5 yrs. without a raise and they were very loyal and hard working. Amazon makes way too much money to treat their employees like this!","[('Work/Life Balance', '3.0'), ('Culture &amp; Values', '3.0'), ('Career Opportunities', '5.0'), ('Comp &amp; Benefits', '5.0'), ('Senior Management', '4.0')]","['Recommends', 'Positive Outlook', 'Approves of CEO', 'Approves of']"
27-Aug-18,"""Amazon it’s hard work but worth it!""",5,Current Employee - Transportation Specialist,"Good pay
If identifying data trends is your talent then this is your place to be.
Everyday is ‘Day one’ can be good or cumbersome it depends
Your input as a employee is valuable
Work life balance

Amazon has been that company I have admired the FC ‘make it happen’ teams.
And I am apart of a company with great people.
I love it here! Amazon truly invest and value their employees and it does … 

Show More",Day one the cumbersome side. Workload constantly changing. So be prepared to work hard and efficiently.,"[('Work/Life Balance', '2.0'), ('Culture &amp; Values', '2.0'), ('Career Opportunities', '1.0'), ('Comp &amp; Benefits', '5.0'), ('Senior Management', '1.0')]","['Recommends', 'Neutral Outlook', 'Disapproves of CEO', 'Disapproves of']"
31-Aug-18,"""Amazon is a Good Place to Grow""",4,Current Employee - Anonymous Employee,Amazon does a really good job of teaching you how to get started. You can get a good amount of experience.,That leads me into the issue. They do not pay you enough for the work you do.,"[('Work/Life Balance', '2.0'), ('Culture &amp; Values', '3.0'), ('Career Opportunities', '4.0'), ('Comp &amp; Benefits', '4.0'), ('Senior Management', '5.0')]","['Recommends', 'Positive Outlook', 'No opinion of CEO', 'No opinion of']"
31-Aug-18,"""technical support""",4,Former Employee - Anonymous Employee,they have a lot of flexibility,you get tired need to walk around for 10 hours,"[('Work/Life Balance', '1.0'), ('Culture &amp; Values', '2.0'), ('Career Opportunities', '4.0'), ('Comp &amp; Benefits', '3.0'), ('Senior Management', '3.0')]","[""Doesn't Recommend"", 'Positive Outlook', 'No opinion of CEO', 'No opinion of']"
13-Sep-18,"""SDE at Amazon""",3,Current Employee - Anonymous Employee,Can take dogs to work and colleagues have strong technique skills.,heavy on-call and bad work balance.,"[('Work/Life Balance', '4.0'), ('Culture &amp; Values', '5.0'), ('Career Opportunities', '5.0'), ('Comp &amp; Benefits', '5.0'), ('Senior Management', '5.0')]","['Recommends', 'Positive Outlook', 'Approves of CEO', 'Approves of']"
14-Sep-18,"""Seasonal worker""",3,Former Employee - Seasonal Associate,They are clear on what to expect hours-wise and there are plenty of shifts to pick up if you care to,"Gigantic warehouse and the majority of your break will be spent walking all the way to the employee breakroom. Training is not very thorough on what you'll actually be doing, and unless you find a 'permanent' employee willing to take you under their wing and show you around, you'll be a little lost.","[('Work/Life Balance', '3.0'), ('Culture &amp; Values', '1.0'), ('Career Opportunities', '3.0'), ('Comp &amp; Benefits', '4.0'), ('Senior Management', '3.0')]","['Recommends', 'Positive Outlook', 'No opinion of CEO', 'No opinion of']"
14-Sep-18,"""Tier 1 warehouse assosicate""",3,Current Employee - Anonymous Employee,"The pay above minimum wage, the job is pretty easy, for the most part the managers are pretty chill.","you can get pigeonholed into a position, if you are reall good at it, or not your area managers favorite.","[('Work/Life Balance', '4.0'), ('Culture &amp; Values', '5.0'), ('Career Opportunities', '5.0'), ('Comp &amp; Benefits', '5.0'), ('Senior Management', '5.0')]","['Recommends', 'Positive Outlook', 'Approves of CEO', 'Approves of']"
14-Sep-18,"""Great company would work for again if I ever left""",3,Current Employee - Sales Representative,"Good benefits, stock, and co workers","Heavy work loads, very upbeat and busy","[('Work/Life Balance', '4.0'), ('Culture &amp; Values', '5.0'), ('Career Opportunities', '4.0'), ('Comp &amp; Benefits', '4.0'), ('Senior Management', '3.0')]","['Recommends', 'Positive Outlook', 'Approves of CEO', 'Approves of']"
14-Sep-18,"""Great Job""",3,Former Employee - Anonymous Employee,"being able to Work from HOme,",Pay could be more. $10 /hr is the standard pay,"[('Work/Life Balance', '4.0'), ('Culture &amp; Values', '5.0'), ('Career Opportunities', '5.0'), ('Comp &amp; Benefits', '5.0'), ('Senior Management', '5.0')]","['Recommends', 'Positive Outlook', 'Approves of CEO', 'Approves of']"
14-Sep-18,"""Problem Solver""",3,Former Employee - Technical Services Problem-Solver,Helping others. No rate. Got to be tech savvy.,Some managers had favoritism for who got to problem solve.,"[('Work/Life Balance', '3.0'), ('Culture &amp; Values', '3.0'), ('Career Opportunities', '3.0'), ('Comp &amp; Benefits', '4.0'), ('Senior Management', '4.0')]","[""Doesn't Recommend"", 'Positive Outlook', 'Approves of CEO', 'Approves of']"
29-Aug-18,"""Amazon is a job to have""",5,Current Employee - Trainer,"I've made many friends since starting here over a year ago. This job really thrives on promoting from within and have moved to a position that I have wanted to be in since I started. Lots of hard work and asking the right questions gets you there. They offer great pay, amazing bonus package and the insurance is out of this world.",When I find one I will let you know.,"[('Work/Life Balance', '3.0'), ('Culture &amp; Values', '3.0'), ('Career Opportunities', '5.0'), ('Comp &amp; Benefits', '5.0'), ('Senior Management', '4.0')]","['Recommends', 'Positive Outlook', 'Approves of CEO', 'Approves of']"
30-Aug-18,"""Wonderful people, wonderful job, wonderful company""",5,Current Employee - Solutions Architect,"Fellow Amazonians - Some of the brightest and best people I have ever worked with.
The work - Very rewarding to help customers on their journey to the cloud.
The compensation - incredibly good perks with the job. They make sure to take care of you in many ways other than base salary and stock options.","I have only worked here for 6 months, but none so far!","[('Work/Life Balance', '2.0'), ('Culture &amp; Values', '2.0'), ('Career Opportunities', '1.0'), ('Comp &amp; Benefits', '5.0'), ('Senior Management', '1.0')]","['Recommends', 'Neutral Outlook', 'Disapproves of CEO', 'Disapproves of']"
30-Aug-18,"""Problem solve PA""",5,Current Employee - Problem Solve PA,"Good benefits, Great balance between family and work, Fair base salary based on your Area.","Nothing really, just that promotions should be also based on how well you do at work and not just on your interview skills.","[('Work/Life Balance', '2.0'), ('Culture &amp; Values', '3.0'), ('Career Opportunities', '4.0'), ('Comp &amp; Benefits', '4.0'), ('Senior Management', '5.0')]","['Recommends', 'Positive Outlook', 'No opinion of CEO', 'No opinion of']"
30-Aug-18,"""Program Management Manager""",5,Current Employee - Anonymous Employee,Work life balance is great (depending on what team you are on.) I was given the ability to WFH if needed and take time off. They really give you the ability to improve processes and listen to ideas.,"Promotion process is not very clear. Unlike other companies that give you at least somewhat of an idea of what you need to do, it is much more ambiguous at Amazon. It seems to be more of a culture of who you know rather than what you are doing.","[('Work/Life Balance', '1.0'), ('Culture &amp; Values', '2.0'), ('Career Opportunities', '4.0'), ('Comp &amp; Benefits', '3.0'), ('Senior Management', '3.0')]","[""Doesn't Recommend"", 'Positive Outlook', 'No opinion of CEO', 'No opinion of']"
30-Aug-18,"""Customer Obsessed""",5,Current Employee - Technical Recruiter,"The motto is ""Work Hard. Have Fun. Make History."" That's exactly what we do here. Imagine the fastest job you've ever worked and then multiple that by 100. You still wouldn't believe how quickly things move here. The key is that we hire people who thrive in this environment. There's no such thing as ""that's not my job"". The Leadership Principles are what we operate by and that drives accountability from every … 
Show More","Amazon doesn't have as many perks as other companies. However, I have more work life balance than I ever have had before. Who needs perks if you get to log out and enjoy your life after work :)","[('Work/Life Balance', '4.0'), ('Culture &amp; Values', '5.0'), ('Career Opportunities', '5.0'), ('Comp &amp; Benefits', '5.0'), ('Senior Management', '5.0')]","['Recommends', 'Positive Outlook', 'Approves of CEO', 'Approves of']"
30-Aug-18,"""Senior product manager""",5,Current Employee - Anonymous Employee,"Get to work some amazing, passionate, driven and really smart people. New ideas are supported and encouraged.",Very hierarchical. Too many organization changes.,"[('Work/Life Balance', '3.0'), ('Culture &amp; Values', '1.0'), ('Career Opportunities', '3.0'), ('Comp &amp; Benefits', '4.0'), ('Senior Management', '3.0')]","['Recommends', 'Positive Outlook', 'No opinion of CEO', 'No opinion of']"
30-Aug-18,"""New to Amazon Manager""",5,Current Employee - Regional Manager,This company really lives it's values and that's refreshing. You get to work with a lot of very smart and dedicated people.,It's very fast paced and things change rapidly--this could also be a pro if you like that sort of environment,"[('Work/Life Balance', '4.0'), ('Culture &amp; Values', '5.0'), ('Career Opportunities', '5.0'), ('Comp &amp; Benefits', '5.0'), ('Senior Management', '5.0')]","['Recommends', 'Positive Outlook', 'Approves of CEO', 'Approves of']"
30-Aug-18,"""Express way of your career""",5,Current Employee - Software Development Engineer,"Switch team easily, good pay, can learn a lot, a lot of opportunities to get promotion. And my team is amazing.","Teams are very different, you have to be very careful when you choose the team. Some of them are really good, but you may also disappoint of some other teams.
Anyway, you can find a team good for you.","[('Work/Life Balance', '4.0'), ('Culture &amp; Values', '5.0'), ('Career Opportunities', '4.0'), ('Comp &amp; Benefits', '4.0'), ('Senior Management', '3.0')]","['Recommends', 'Positive Outlook', 'Approves of CEO', 'Approves of']"
30-Aug-18,"""Software Engineer""",5,Current Employee - Software Engineer,"Work with smart people and a lot of interesting and challenging projects.
Most of people are willing to put more hours at work and the schedule are very flexible.",I have not seen major cons yet.,"[('Work/Life Balance', '4.0'), ('Culture &amp; Values', '5.0'), ('Career Opportunities', '5.0'), ('Comp &amp; Benefits', '5.0'), ('Senior Management', '5.0')]","['Recommends', 'Positive Outlook', 'Approves of CEO', 'Approves of']"
30-Aug-18,"""Thankful Everyday""",5,Current Employee - Anonymous Employee,"Always an opportunity to learn
Great benefits
Brilliant, level headed people","Nothing notable. As long as you're okay with working hard, where you're needed most.","[('Work/Life Balance', '3.0'), ('Culture &amp; Values', '3.0'), ('Career Opportunities', '3.0'), ('Comp &amp; Benefits', '4.0'), ('Senior Management', '4.0')]","[""Doesn't Recommend"", 'Positive Outlook', 'Approves of CEO', 'Approves of']"
30-Aug-18,"""Best job I have ever had""",5,Current Employee - Anonymous Employee,"Competitive Wages, Career Growth, Innovation, Strong & Fun Culture, People, Leadership, Flexibility.",Navigating a very complex & fast growing organization,"[('Work/Life Balance', '3.0'), ('Culture &amp; Values', '3.0'), ('Career Opportunities', '5.0'), ('Comp &amp; Benefits', '5.0'), ('Senior Management', '4.0')]","['Recommends', 'Positive Outlook', 'Approves of CEO', 'Approves of']"
30-Aug-18,"""Amazon""",5,Current Employee - Anonymous Employee,"Total compensation is highly competitive
Yes base wage is competitive but amazon has really amazing benefits that I think no other company can compete with
Growth Opportunities - Career progression can happen pretty fast if your doing the right things",If you are a seasoned professional or anybody else for that matter your initial adjustment to Amazon'svery unique culture can be challenging,"[('Work/Life Balance', '2.0'), ('Culture &amp; Values', '2.0'), ('Career Opportunities', '1.0'), ('Comp &amp; Benefits', '5.0'), ('Senior Management', '1.0')]","['Recommends', 'Neutral Outlook', 'Disapproves of CEO', 'Disapproves of']"
30-Aug-18,"""AWSome!""",5,Current Employee - Anonymous Employee,"- One of the most innovative companies I've worked for
- Smart people with great ideas
- Fast paced environment
- Good work life balance (i.e., flexible working hours depending on which team you work for)
- Ton of online resources to grow in your field of",Frequent reorgs lead to change in project priorities which sometimes creates frustration,"[('Work/Life Balance', '2.0'), ('Culture &amp; Values', '3.0'), ('Career Opportunities', '4.0'), ('Comp &amp; Benefits', '4.0'), ('Senior Management', '5.0')]","['Recommends', 'Positive Outlook', 'No opinion of CEO', 'No opinion of']"
30-Aug-18,"""So Far So Good!""",5,Current Employee - Software Development Engineer,"I'm only a few weeks into working at Amazon, so admittedly these are only first impressions. But here are some of things I've seen so far.

1. Incredible recruiting experience - Throughout my entire time recruiting things were communicated very well, there was no guesswork with what to expect, when to expect it. Amazon was completely transparent about what would be coming, and then HELD TO THEIR WORD. I can't … 





Show More","Honestly, my cons are pretty banal. But for the sake of fair comparison here are my thoughts.

1. It took me a couple days to understand all the internal websites. I didn't feel like there was any great home navigation to find all the other internal endpoints that are needed on a daily basis. Thankfully, though, I had some friends already here who compiled a great startup email to point me in the right … 

Show More","[('Work/Life Balance', '1.0'), ('Culture &amp; Values', '2.0'), ('Career Opportunities', '4.0'), ('Comp &amp; Benefits', '3.0'), ('Senior Management', '3.0')]","[""Doesn't Recommend"", 'Positive Outlook', 'No opinion of CEO', 'No opinion of']"
30-Aug-18,"""Program Manager""",5,Current Employee - Program Manager,"Highly innovative environment working with the smartest people. Fast paced and decision making setting which is a pro for me (may not be for others). Competitive compensation, good health insurance and stock compensation",Sometimes the senior leaders just want things to be done and dont think about the consequences. Bad 401k match,"[('Work/Life Balance', '4.0'), ('Culture &amp; Values', '5.0'), ('Career Opportunities', '5.0'), ('Comp &amp; Benefits', '5.0'), ('Senior Management', '5.0')]","['Recommends', 'Positive Outlook', 'Approves of CEO', 'Approves of']"
30-Aug-18,"""EHS Specialist""",5,Current Employee - EHS Specialist,#NAME?,#NAME?,"[('Work/Life Balance', '3.0'), ('Culture &amp; Values', '1.0'), ('Career Opportunities', '3.0'), ('Comp &amp; Benefits', '4.0'), ('Senior Management', '3.0')]","['Recommends', 'Positive Outlook', 'No opinion of CEO', 'No opinion of']"
30-Aug-18,"""Outstanding Family!""",5,Current Employee - Logistics,Unlimited opportunity/ ongoing training / able to make independent decisions / management team is caring / the entire world is on our teams/ speak with fellow employees on all continents / I can go on forever about the pros,I can't learn fast enough!,"[('Work/Life Balance', '4.0'), ('Culture &amp; Values', '5.0'), ('Career Opportunities', '5.0'), ('Comp &amp; Benefits', '5.0'), ('Senior Management', '5.0')]","['Recommends', 'Positive Outlook', 'Approves of CEO', 'Approves of']"
30-Aug-18,"""All Star Team""",5,Current Employee - Senior Program Manager,"Fast Paced, unique, scale, variation, freedom, employees. It's an all-star team here, you will be challenged.","Mistakes are accepted, but magnified due to scale","[('Work/Life Balance', '4.0'), ('Culture &amp; Values', '5.0'), ('Career Opportunities', '4.0'), ('Comp &amp; Benefits', '4.0'), ('Senior Management', '3.0')]","['Recommends', 'Positive Outlook', 'Approves of CEO', 'Approves of']"
30-Aug-18,"""Operations Manager""",5,Current Employee - Operations Manager,"A career in Amazon Operations is a great place to work alongside some extremely bright and driven professionals. Whether or not it’s a great fit for you depends on your personality type and what you what in your career. If you want the opportunity to be challenged, take ownership/responsibility, stretch your skills, lead and implement process improvements and push your own development then Amazon is a great place … 
Show More",Base pay is average. However overall compensation is very competitive when you factor in RSU's.,"[('Work/Life Balance', '4.0'), ('Culture &amp; Values', '5.0'), ('Career Opportunities', '5.0'), ('Comp &amp; Benefits', '5.0'), ('Senior Management', '5.0')]","['Recommends', 'Positive Outlook', 'Approves of CEO', 'Approves of']"
30-Aug-18,"""Software Development Engineer""",5,Current Employee - Software Development Engineer,"A lot of room for growth, Great mentors, Full stack projects","Very fast paced, not a ton of benefits other than normal health care.","[('Work/Life Balance', '3.0'), ('Culture &amp; Values', '3.0'), ('Career Opportunities', '3.0'), ('Comp &amp; Benefits', '4.0'), ('Senior Management', '4.0')]","[""Doesn't Recommend"", 'Positive Outlook', 'Approves of CEO', 'Approves of']"
30-Aug-18,"""Great management and buisness structure make this enjoyable to come to work""",5,Current Employee - RME Tech III,"Working here the last 5 yrs. , I have seen a lot of change. Mostly good. I'm in the maintenance Dept. and our voices are heard to make the building run better, increase productivity, and help the associates do their job more safely and efficiently. Management is always looking out for their direct customer, which in turn has a direct reflection to the end customer receiving the product.","Scope of work has diminished since hiring, and much of my work has been given to Contractors","[('Work/Life Balance', '3.0'), ('Culture &amp; Values', '3.0'), ('Career Opportunities', '5.0'), ('Comp &amp; Benefits', '5.0'), ('Senior Management', '4.0')]","['Recommends', 'Positive Outlook', 'Approves of CEO', 'Approves of']"
30-Aug-18,"""AWS Sales Operations""",5,Current Employee - Sales Operations Lead,"Great compensation. Strong innovation culture. Fun, fast-pace environment. Career growth opportunity. Fast growing company. very good benefits package.","Things move so fast, often feel behind. Vesting of stock feels slow.","[('Work/Life Balance', '2.0'), ('Culture &amp; Values', '2.0'), ('Career Opportunities', '1.0'), ('Comp &amp; Benefits', '5.0'), ('Senior Management', '1.0')]","['Recommends', 'Neutral Outlook', 'Disapproves of CEO', 'Disapproves of']"
30-Aug-18,"""Upward move for my career""",5,Current Employee - Software Development Engineer II,"Amazing work (comiXology)
Awesome Work Location (Times Square NYC)
High Base Salary
Large Signing Bonus Year 1
Large Signing Bonus Year 2
RSU's of Amazon
401K Matching","You need to adapt to the Amazon way and throw away a lot of conventional wisdom, which feels a bit abnormal at first
401k takes 3 years to vest","[('Work/Life Balance', '2.0'), ('Culture &amp; Values', '3.0'), ('Career Opportunities', '4.0'), ('Comp &amp; Benefits', '4.0'), ('Senior Management', '5.0')]","['Recommends', 'Positive Outlook', 'No opinion of CEO', 'No opinion of']"
30-Aug-18,"""So far so good!""",5,Current Employee - Anonymous Employee,I'm really loving my experience at Amazon so far. I have gotten great support from my manager and extended team. I love the self service attitude here.,"These aren't cons for me, but if you need your manager checking in with you every day to see if you need anything, or giving you praise for completing trivial tasks then this might not be the place for you.","[('Work/Life Balance', '1.0'), ('Culture &amp; Values', '2.0'), ('Career Opportunities', '4.0'), ('Comp &amp; Benefits', '3.0'), ('Senior Management', '3.0')]","[""Doesn't Recommend"", 'Positive Outlook', 'No opinion of CEO', 'No opinion of']"
30-Aug-18,"""The innovator's dream job""",5,Current Employee - Anonymous Employee,"The sky is the limit if you are an entrepreneur that can get things done. So much opportunity and when/if you get bored, there are many other areas within the company for you to go try out. If you can envision an area you want to be in, chances are good that area exists and is looking for talented people.","It is a big company and with any big company come policies and practices you have to follow, unlike start ups. Additionally, with big companies, you have a lots of people and with lots of people you will have some bad leaders. The good news is that they are the exception and as an employee, you're allowed to switch teams, which also helps put a spot light on these managers.","[('Work/Life Balance', '4.0'), ('Culture &amp; Values', '5.0'), ('Career Opportunities', '5.0'), ('Comp &amp; Benefits', '5.0'), ('Senior Management', '5.0')]","['Recommends', 'Positive Outlook', 'Approves of CEO', 'Approves of']"
30-Aug-18,"""Sr HRA""",5,Current Employee - Anonymous Employee,This is real HR. You work to develop employees and remove barriers to success. I thoroughly enjoy the challenge.,Fulfillment centers operate nearly 24/7 365. That means odd shifts. I worked nights my first year. I have worked every single Saturday for nearly the last two years.,"[('Work/Life Balance', '3.0'), ('Culture &amp; Values', '1.0'), ('Career Opportunities', '3.0'), ('Comp &amp; Benefits', '4.0'), ('Senior Management', '3.0')]","['Recommends', 'Positive Outlook', 'No opinion of CEO', 'No opinion of']"
30-Aug-18,"""There is not a single company in the world that I would rather work for!""",5,Current Employee - Senior Learning and Talent Development Specialist,"The Amazon corporate culture/values are the best in the world. We obsess over customers. Some companies claim to care about customers, but from my experience working in retail management for other companies what they do does not even come close to what Amazon does.

We pioneer, innovate, and value the opinions of employees and customers at all levels . We truly listen to both customers and employees. I have … 















Show More","We provide stock to all Amazon employees at all job levels. The stock was somewhere around $340 a share when I joined about 4 years ago. Now it is almost $2,000 a share and just keeps going up! The only hard thing about that is not know when or if you should ever sell it. Amazon wants all of its employees to feel personally invested in the success of the company and they do this by making everyone an Owner both … 
Show More","[('Work/Life Balance', '4.0'), ('Culture &amp; Values', '5.0'), ('Career Opportunities', '5.0'), ('Comp &amp; Benefits', '5.0'), ('Senior Management', '5.0')]","['Recommends', 'Positive Outlook', 'Approves of CEO', 'Approves of']"
30-Aug-18,"""Great Place to Learn, Grow & Earn""",5,Current Employee - Anonymous Employee,"Its a truly great environment to continue learning as a professional. There is a sense of a start up culture, but with the benefits of a fortune 500. The principles of Amazon's culture are extremely clear for its employees and there is very little micro managing. Very strong compensation & strong products to sell.","There is sometimes over-exposure to information and tasks that can overwhelm even the most talented people. There is little micro managing which is good, but sometimes its hard to find the answer to simple things.","[('Work/Life Balance', '4.0'), ('Culture &amp; Values', '5.0'), ('Career Opportunities', '4.0'), ('Comp &amp; Benefits', '4.0'), ('Senior Management', '3.0')]","['Recommends', 'Positive Outlook', 'Approves of CEO', 'Approves of']"
30-Aug-18,"""Great place to develop as an intern""",5,Current Employee - Software Development Engineer Intern,"Learned a lot on a really good team, was never worked too hard.","The team is fairly quiet, not a ton of energy in the office.","[('Work/Life Balance', '4.0'), ('Culture &amp; Values', '5.0'), ('Career Opportunities', '5.0'), ('Comp &amp; Benefits', '5.0'), ('Senior Management', '5.0')]","['Recommends', 'Positive Outlook', 'Approves of CEO', 'Approves of']"
30-Aug-18,"""Incredible Place to Work""",5,Current Employee - Senior Software Development Engineer,#NAME?,Many of the developer tools for internal services are out of date. Amazon can be slow to adopt industry standards/best practices where it would be beneficial to do so.,"[('Work/Life Balance', '3.0'), ('Culture &amp; Values', '3.0'), ('Career Opportunities', '3.0'), ('Comp &amp; Benefits', '4.0'), ('Senior Management', '4.0')]","[""Doesn't Recommend"", 'Positive Outlook', 'Approves of CEO', 'Approves of']"
30-Aug-18,"""AWS is Awesome (for me)""",5,Current Employee - Anonymous Employee,"Good benefits, good management (at least in my org). I've worked a lot of places where management doesn't want to hear contradictory opinions; this is the opposite. Even our interns jump in the fray. Management listens, and expects us to hold to the highest standards . First place I've ever worked where the guiding principles are actually referenced more often than during employee training and, in fact, are talked … 
Show More","I've worked in both Seattle and Herndon, and commutes may suck if you aren't close to the office. That said, they do everything they can in Seattle to help out - I love the Amazon bus service because I can start working from the bus (they have wifi). Also, this culture isn't for everyone, and you have to pick your org carefully. A lot comes down to management - it's a big company. And, the culture here is pretty … 
Show More","[('Work/Life Balance', '3.0'), ('Culture &amp; Values', '3.0'), ('Career Opportunities', '5.0'), ('Comp &amp; Benefits', '5.0'), ('Senior Management', '4.0')]","['Recommends', 'Positive Outlook', 'Approves of CEO', 'Approves of']"
30-Aug-18,"""Amazon Austin""",5,Current Employee - Senior Software Engineer,"The Austin office has a much more laid back culture than the Seattle HQ

Comp is awesome compared to other Austin companies and the cost of living

Fast paced work environment with very capable coworkers","Most senior management is back in Seattle which leads to a lot of remote meetings and more flying to Seattle than I would like

Missing most of the crazy benefits of other big tech companies

The company cafeteria isn't very good","[('Work/Life Balance', '2.0'), ('Culture &amp; Values', '2.0'), ('Career Opportunities', '1.0'), ('Comp &amp; Benefits', '5.0'), ('Senior Management', '1.0')]","['Recommends', 'Neutral Outlook', 'Disapproves of CEO', 'Disapproves of']"
30-Aug-18,"""Delivers value""",5,Current Employee - Senior Product Manager,"Obsessed towards the Customer Need. Trying to solve towards a real problem the Customer has avoids the pitfall of building great products and features that no-one adopts. Additionally, unlike the Moonshot approach, and failing big, the Lean Approach is emphasized - to scale gradually, learn from failures and succeed big, or fail small.","Often, can be a bit impersonal; they are trying to correct for that internally. Who you are to some extent matters only to the extent what you want to do with it.","[('Work/Life Balance', '2.0'), ('Culture &amp; Values', '3.0'), ('Career Opportunities', '4.0'), ('Comp &amp; Benefits', '4.0'), ('Senior Management', '5.0')]","['Recommends', 'Positive Outlook', 'No opinion of CEO', 'No opinion of']"
30-Aug-18,"""Fantastic company""",5,Current Employee - Recruiting Coordinator,"Very efficient interview process, excellent experience. Great team and managers, surrounded by smart and driven people.",Medical premiums could be a bit cheaper.,"[('Work/Life Balance', '1.0'), ('Culture &amp; Values', '2.0'), ('Career Opportunities', '4.0'), ('Comp &amp; Benefits', '3.0'), ('Senior Management', '3.0')]","[""Doesn't Recommend"", 'Positive Outlook', 'No opinion of CEO', 'No opinion of']"
30-Aug-18,"""Doesn't live up to the hype""",5,Current Employee - Senior Manager,"Amazon doesn't live up to the hype that they are slave driving maniacs. They do not change their mind every other day or week about what is important. They operate off of a very solid foundation. Yes they are dynamic and change quickly and expect you to be part of the solution, but it is not chaos and the senior leaders are top notch in every respect. Most people I see that do not like Amazon or the culture don't … 
Show More",Amazon is very focused on a positive associate experience and has a low level of accountability for the work force. This is not always bad but it presents certain challenges in achieving success,"[('Work/Life Balance', '4.0'), ('Culture &amp; Values', '5.0'), ('Career Opportunities', '5.0'), ('Comp &amp; Benefits', '5.0'), ('Senior Management', '5.0')]","['Recommends', 'Positive Outlook', 'Approves of CEO', 'Approves of']"
30-Aug-18,"""Logistics Specialist""",5,Current Employee - Logistics Specialist,Great sense of team. Relaxed atmosphere. A real sense of accomplishment as docks clear at end of dispatch.,Changes happen fast and communication doesn't always keep up. Also you have to switch between multiple tasks on a timetable outside your control.,"[('Work/Life Balance', '3.0'), ('Culture &amp; Values', '1.0'), ('Career Opportunities', '3.0'), ('Comp &amp; Benefits', '4.0'), ('Senior Management', '3.0')]","['Recommends', 'Positive Outlook', 'No opinion of CEO', 'No opinion of']"
30-Aug-18,"""It Support Tech""",5,Current Employee - IT Support,"Different Schedule, Bonuses, Team work, AA matters.",i don't see any Cons,"[('Work/Life Balance', '4.0'), ('Culture &amp; Values', '5.0'), ('Career Opportunities', '5.0'), ('Comp &amp; Benefits', '5.0'), ('Senior Management', '5.0')]","['Recommends', 'Positive Outlook', 'Approves of CEO', 'Approves of']"
5-Oct-18,"""Warehousing""",1,Current Employee - Warehouse Associate,"Decent pay, Medical, 401K (they will match up to 2% of your pay), Paid breaks, Offer bonus","Long Shifts, Hard on body, Constant lifting, expected to meet high speed demands (175/1hr picking Min) Standing long periods of time","[('Work/Life Balance', '4.0'), ('Culture &amp; Values', '5.0'), ('Career Opportunities', '4.0'), ('Comp &amp; Benefits', '4.0'), ('Senior Management', '3.0')]","['Recommends', 'Positive Outlook', 'Approves of CEO', 'Approves of']"
14-Sep-18,"""The startup company""",2,Current Employee - Software Development Engineer,"Challenging problems, amazing coworkers, and frontier technology.","The work-life balance is awful, and there is a lack of documentation and the one available happens to be outdated making it useless. The learning curve becomes a problem if you are on a new project.","[('Work/Life Balance', '4.0'), ('Culture &amp; Values', '5.0'), ('Career Opportunities', '5.0'), ('Comp &amp; Benefits', '5.0'), ('Senior Management', '5.0')]","['Recommends', 'Positive Outlook', 'Approves of CEO', 'Approves of']"
